Date,Open,High,Low,Close
02/08/2022,"35,160.68","35,544.89","35,090.42","35,462.78"
02/07/2022,"35,108.38","35,325.01","34,993.98","35,091.13"
02/04/2022,"35,095.74","35,333.55","34,799.08","35,089.74"
02/03/2022,"35,520.08","35,535.94","35,071.06","35,111.16"
02/02/2022,"35,378.19","35,679.20","35,290.12","35,629.33"
02/01/2022,"35,151.47","35,441.09","34,977.95","35,405.24"
01/31/2022,"34,691.17","35,148.14","34,496.10","35,131.86"
01/28/2022,"34,135.24","34,731.77","33,807.51","34,725.47"
01/27/2022,"34,261.75","34,773.32","34,007.78","34,160.78"
01/26/2022,"34,520.82","34,815.67","33,876.48","34,168.09"
01/25/2022,"34,186.64","34,591.04","33,545.52","34,297.73"
01/24/2022,"34,070.61","34,420.99","33,150.33","34,364.50"
01/21/2022,"34,701.69","34,896.67","34,229.55","34,265.37"
01/20/2022,"35,102.66","35,490.20","34,670.12","34,715.39"
01/19/2022,"35,412.30","35,547.83","35,015.49","35,028.65"
01/18/2022,"35,661.76","35,661.76","35,262.02","35,368.47"
01/14/2022,"35,996.43","35,996.43","35,641.49","35,911.81"
01/13/2022,"36,312.49","36,513.88","36,044.22","36,113.62"
01/12/2022,"36,336.16","36,453.49","36,168.15","36,290.32"
01/11/2022,"36,058.85","36,271.47","35,769.38","36,252.02"
01/10/2022,"36,175.21","36,175.21","35,639.91","36,068.87"
01/07/2022,"36,249.59","36,382.84","36,111.53","36,231.66"
01/06/2022,"36,409.05","36,464.19","36,200.68","36,236.47"
01/05/2022,"36,722.60","36,952.65","36,400.39","36,407.11"
01/04/2022,"36,636.00","36,934.84","36,636.00","36,799.65"
01/03/2022,"36,321.59","36,595.82","36,246.45","36,585.06"
12/31/2021,"36,385.85","36,484.94","36,303.97","36,338.30"
12/30/2021,"36,522.48","36,679.44","36,372.13","36,398.08"
12/29/2021,"36,421.14","36,571.55","36,396.19","36,488.63"
12/28/2021,"36,302.99","36,527.26","36,302.99","36,398.21"
12/27/2021,"35,954.48","36,306.61","35,954.48","36,302.38"
12/23/2021,"35,782.42","36,060.99","35,782.42","35,950.56"
12/22/2021,"35,491.71","35,764.67","35,433.13","35,753.89"
12/21/2021,"35,069.50","35,508.96","35,069.50","35,492.70"
12/20/2021,"35,222.12","35,222.12","34,665.50","34,932.16"
12/17/2021,"35,800.11","35,800.11","35,284.26","35,365.44"
12/16/2021,"36,036.28","36,189.83","35,778.21","35,897.64"
12/15/2021,"35,549.35","35,943.84","35,389.30","35,927.43"
12/14/2021,"35,605.73","35,779.47","35,441.74","35,544.18"
12/13/2021,"35,958.93","35,958.93","35,609.53","35,650.95"
12/10/2021,"35,830.55","35,982.69","35,710.43","35,970.99"
12/09/2021,"35,722.26","35,864.24","35,577.14","35,754.69"
12/08/2021,"35,716.85","35,840.52","35,602.65","35,754.75"
12/07/2021,"35,423.99","35,819.47","35,423.99","35,719.43"
12/06/2021,"34,633.43","35,356.75","34,633.43","35,227.03"
12/03/2021,"34,692.78","34,801.31","34,264.57","34,580.08"
12/02/2021,"34,076.25","34,759.65","34,076.25","34,639.79"
12/01/2021,"34,678.94","35,004.64","34,006.98","34,022.04"
11/30/2021,"35,056.99","35,056.99","34,424.44","34,483.72"
11/29/2021,"35,017.71","35,287.91","34,895.89","35,135.94"
11/26/2021,"35,366.69","35,366.69","34,749.80","34,899.34"
11/24/2021,"35,752.31","35,825.47","35,591.03","35,804.38"
11/23/2021,"35,619.92","35,841.52","35,542.87","35,813.80"
11/22/2021,"35,631.41","35,929.66","35,615.55","35,619.25"
11/19/2021,"35,879.09","35,879.09","35,555.37","35,601.98"
11/18/2021,"35,901.69","35,952.63","35,654.39","35,870.95"
11/17/2021,"36,159.70","36,159.70","35,909.48","35,931.05"
11/16/2021,"36,076.18","36,316.61","36,076.18","36,142.22"
11/15/2021,"36,128.83","36,236.07","36,031.78","36,087.45"
11/12/2021,"35,963.78","36,147.63","35,934.59","36,100.31"
11/11/2021,"36,038.78","36,108.17","35,915.27","35,921.23"
11/10/2021,"36,299.25","36,346.61","36,009.50","36,079.94"
11/09/2021,"36,404.53","36,416.98","36,173.07","36,319.98"
11/08/2021,"36,416.46","36,565.73","36,334.42","36,432.22"
11/05/2021,"36,268.75","36,484.75","36,190.20","36,327.95"
11/04/2021,"36,107.46","36,168.03","35,986.48","36,124.23"
11/03/2021,"36,059.09","36,178.51","35,891.73","36,157.58"
